gene_name,uniprot,hgnc_symbol,ensembl
SULT1A1,P50225,SULT1A1,ENSG00000196502
UBASH3B,Q8TF42,UBASH3B,ENSG00000154127
SRD5A3,Q9H8P0,SRD5A3,ENSG00000128039
SULT2A1,Q06520,SULT2A1,ENSG00000105398
SRD5A2,P31213,SRD5A2,ENSG00000277893
SULT1E1,P49888,SULT1E1,ENSG00000109193
CYP21A2,P08686,CYP21A2,ENSG00000231852
SRD5A1,P18405,SRD5A1,ENSG00000145545
HTR3E,A5X5Y0,HTR3E,ENSG00000186038
COL6A6,A6NMZ7,COL6A6,ENSG00000206384
COL6A5,A8TX70,COL6A5,ENSG00000172752
CCL3L1,P16619,CCL3L1,ENSG00000276085
KLRF2,D3W0D1,KLRF2,ENSG00000256797
HLA-A,HLAA,HLA-A,ENSG00000224320
HLA-A,HLAA,HLA-A,ENSG00000231834
HLA-A,HLAA,HLA-A,ENSG00000235657
HLA-A,HLAA,HLA-A,ENSG00000229215
HLA-A,HLAA,HLA-A,ENSG00000223980
HLA-A,HLAA,HLA-A,ENSG00000206505
HLA-B,HLAB,HLA-B,ENSG00000232126
HLA-B,HLAB,HLA-B,ENSG00000206450
HLA-B,HLAB,HLA-B,ENSG00000228964
HLA-B,HLAB,HLA-B,ENSG00000224608
HLA-B,HLAB,HLA-B,ENSG00000223532
HLA-C,HLAC,HLA-C,ENSG00000206452
HLA-C,HLAC,HLA-C,ENSG00000206435
HLA-C,HLAC,HLA-C,ENSG00000225691
HLA-C,HLAC,HLA-C,ENSG00000228299
HLA-C,HLAC,HLA-C,ENSG00000237022
IFNA1,IFNA1,IFNA1,ENSG00000197919
ERVH48-1,M5A8F1,ERVH48-1,ENSG00000233056
FZD9,O00144,FZD9,ENSG00000188763
CCL24,O00175,CCL24,ENSG00000106178
LGALS9,O00182,LGALS9,ENSG00000168961
TNFRSF10A,O00220,TNFRSF10A,ENSG00000104689
CORT,O00230,CORT,ENSG00000241563
BMPR1B,O00238,BMPR1B,ENSG00000138696
SIRPB1,O00241,SIRPB1,ENSG00000101307
AGRP,O00253,AGRP,ENSG00000159723
LEFTY2,O00292,LEFTY2,ENSG00000143768
TULP1,O00294,TULP1,ENSG00000112041
TNFRSF11B,O00300,TNFRSF11B,ENSG00000164761
CCRL2,O00421,CCRL2,ENSG00000121797
GFRA2,O00451,GFRA2,ENSG00000168546
AGRN,O00468,AGRN,ENSG00000188157
DLL1,O00548,DLL1,ENSG00000275555
DLL1,O00548,DLL1,ENSG00000198719
CXCR6,O00574,CXCR6,ENSG00000172215
RNASET2,O00584,RNASET2,ENSG00000026297
CCL21,O00585,CCL21,ENSG00000137077
ACKR2,O00590,ACKR2,ENSG00000144648
PODXL,O00592,PODXL,ENSG00000128567
CCL22,O00626,CCL22,ENSG00000102962
WNT7A,O00755,WNT7A,ENSG00000154764
NRG2,O14511,NRG2,ENSG00000158458
CXCL11,O14625,CXCL11,ENSG00000169248
PTGES,O14684,PTGES,ENSG00000148344
HSD17B6,O14756,HSD17B6,ENSG00000025423
TNFRSF10B,O14763,TNFRSF10B,ENSG00000120889
NRP1,O14786,NRP1,ENSG00000099250
TNFSF11,O14788,TNFSF11,ENSG00000120659
MSTN,O14793,MSTN,ENSG00000138379
TNFRSF10C,O14798,TNFRSF10C,ENSG00000173535
TNFRSF13B,O14836,TNFRSF13B,ENSG00000240505
WNT9A,O14904,WNT9A,ENSG00000143816
WNT9B,O14905,WNT9B,ENSG00000158955
WNT9B,O14905,WNT9B,ENSG00000276799
NCR3,O14931,NCR3,ENSG00000204475
NCR3,O14931,NCR3,ENSG00000237103
NCR3,O14931,NCR3,ENSG00000225211
NCR3,O14931,NCR3,ENSG00000206430
NCR3,O14931,NCR3,ENSG00000236979
NCR3,O14931,NCR3,ENSG00000223833
NCR3,O14931,NCR3,ENSG00000236315
NCR3,O14931,NCR3,ENSG00000237808
EREG,O14944,EREG,ENSG00000124882
PLXNB2,O15031,PLXNB2,ENSG00000196576
SEMA3E,O15041,SEMA3E,ENSG00000170381
ANGPT2,O15123,ANGPT2,ENSG00000091879
MUSK,O15146,MUSK,ENSG00000030304
EPHB6,O15197,EPHB6,ENSG00000106123
GPR37,O15354,GPR37,ENSG00000170775
CCL25,O15444,CCL25,ENSG00000131142
CCL16,O15467,CCL16,ENSG00000275152
CCL16,O15467,CCL16,ENSG00000275095
FGF10,O15520,FGF10,ENSG00000070193
CYP27B1,O15528,CYP27B1,ENSG00000111012
PLXNB1,O43157,PLXNB1,ENSG00000164050
MLNR,O43193,MLNR,ENSG00000102539
DHH,O43323,DHH,ENSG00000139549
TNFSF12,O43508,TNFSF12,ENSG00000239697
GNRH2,O43555,GNRH2,ENSG00000125787
TNFSF14,O43557,TNFSF14,ENSG00000125735
GALR2,O43603,GALR2,ENSG00000182687
HCRT,O43612,HCRT,ENSG00000161610
HCRTR1,O43613,HCRTR1,ENSG00000121764
HCRTR2,O43614,HCRTR2,ENSG00000137252
TYROBP,O43914,TYROBP,ENSG00000011600
VEGFD,O43915,VEGFD,ENSG00000165197
EFNA2,O43921,EFNA2,ENSG00000099617
CXCL13,O43927,CXCL13,ENSG00000156234
FGF17,O60258,FGF17,ENSG00000158815
FZD6,O60353,FZD6,ENSG00000164930
GDF9,O60383,GDF9,ENSG00000164404
NRP2,O60462,NRP2,ENSG00000118257
DSCAM,O60469,DSCAM,ENSG00000171587
PLXNC1,O60486,PLXNC1,ENSG00000136040
CUBN,O60494,CUBN,ENSG00000107611
PSPN,O60542,PSPN,ENSG00000125650
GFRA3,O60609,GFRA3,ENSG00000146013
GALR3,O60755,GALR3,ENSG00000128310
GPR37L1,O60883,GPR37L1,ENSG00000170075
RAMP1,O60894,RAMP1,ENSG00000132329
RAMP2,O60895,RAMP2,ENSG00000131477
RAMP3,O60896,RAMP3,ENSG00000122679
PLXNA2,O75051,PLXNA2,ENSG00000076356
FZD7,O75084,FZD7,ENSG00000155760
SLIT1,O75093,SLIT1,ENSG00000187122
LRP4,O75096,LRP4,ENSG00000134569
ICOSLG,O75144,ICOSLG,ENSG00000160223
LRP5,O75197,LRP5,ENSG00000162337
SEMA7A,O75326,SEMA7A,ENSG00000138623
NR1I2,O75469,NR1I2,ENSG00000144852
LGR5,O75473,LGR5,ENSG00000139292
TNFRSF21,O75509,TNFRSF21,ENSG00000146072
ITGA10,O75578,ITGA10,ENSG00000143127
LRP6,O75581,LRP6,ENSG00000070018
LRP6,O75581,LRP6,ENSG00000281324
LEFTY1,O75610,LEFTY1,ENSG00000243709
ATP6AP2,O75787,ATP6AP2,ENSG00000182220
TNFSF13,O75888,TNFSF13,ENSG00000161955
ALDH1A2,O94788,ALDH1A2,ENSG00000128918
SLIT2,O94813,SLIT2,ENSG00000145147
DKK1,O94907,DKK1,ENSG00000107984
S1PR2,O95136,S1PR2,ENSG00000267534
TNFSF15,O95150,TNFSF15,ENSG00000181634
UNC5C,O95185,UNC5C,ENSG00000182168
IL18RAP,O95256,IL18RAP,ENSG00000115607
HTR3B,O95264,HTR3B,ENSG00000149305
GDF11,O95390,GDF11,ENSG00000135414
BMP10,O95393,BMP10,ENSG00000163217
UTS2,O95399,UTS2,ENSG00000049247
TNFRSF6B,O95407,TNFRSF6B,ENSG00000243509
ABCA1,O95477,ABCA1,ENSG00000165029
NTN1,O95631,NTN1,ENSG00000065320
CXCL14,O95715,CXCL14,ENSG00000145824
CRTAM,O95727,CRTAM,ENSG00000109943
FGF19,O95750,FGF19,ENSG00000162344
IL33,O95760,IL33,ENSG00000137033
GPR75,O95800,GPR75,ENSG00000119737
CER1,O95813,CER1,ENSG00000147869
GLP2R,O95838,GLP2R,ENSG00000065325
CD160,O95971,CD160,ENSG00000117281
BMP15,O95972,BMP15,ENSG00000130385
WNT11,O96014,WNT11,ENSG00000085741
ALDH1A1,P00352,ALDH1A1,ENSG00000165092
EGFR,P00533,EGFR,ENSG00000146648
F2,P00734,F2,ENSG00000180210
F10,P00742,F10,ENSG00000126218
PLG,P00747,PLG,ENSG00000122194
PLAU,P00749,PLAU,ENSG00000122861
REN,P00797,REN,ENSG00000143839
AGT,P01019,AGT,ENSG00000135744
C3,P01024,C3,ENSG00000125730
C5,P01031,C5,ENSG00000106804
KNG1,P01042,KNG1,ENSG00000113889
PDGFB,P01127,PDGFB,ENSG00000100311
EGF,P01133,EGF,ENSG00000138798
TGFA,P01135,TGFA,ENSG00000163235
TGFB1,P01137,TGFB1,ENSG00000105329
NGF,P01138,NGF,ENSG00000134259
GNRH1,P01148,GNRH1,ENSG00000147437
NPPA,P01160,NPPA,ENSG00000175206
OXT,P01178,OXT,ENSG00000101405
AVP,P01185,AVP,ENSG00000101200
POMC,P01189,POMC,ENSG00000115138
PENK,P01210,PENK,ENSG00000181195
PDYN,P01213,PDYN,ENSG00000101327
CGA,P01215,CGA,ENSG00000135346
TSHB,P01222,TSHB,ENSG00000134200
FSHB,P01225,FSHB,ENSG00000131808
LHB,P01229,LHB,ENSG00000104826
PRL,P01236,PRL,ENSG00000172179
GH1,P01241,GH1,ENSG00000259384
GH2,P01242,GH2,ENSG00000136487
CALCA,P01258,CALCA,ENSG00000110680
TG,P01266,TG,ENSG00000042832
PTH,P01270,PTH,ENSG00000152266
GCG,P01275,GCG,ENSG00000115263
VIP,P01282,VIP,ENSG00000146469
GHRH,P01286,GHRH,ENSG00000118702
INS,P01308,INS,ENSG00000254647
IGF2,P01344,IGF2,ENSG00000167244
GAST,P01350,GAST,ENSG00000184502
LTA,P01374,LTA,ENSG00000230279
LTA,P01374,LTA,ENSG00000226979
LTA,P01374,LTA,ENSG00000231408
TNF,P01375,TNF,ENSG00000232810
TNF,P01375,TNF,ENSG00000228849
TNF,P01375,TNF,ENSG00000230108
TNF,P01375,TNF,ENSG00000204490
TNF,P01375,TNF,ENSG00000206439
TNF,P01375,TNF,ENSG00000228321
TNF,P01375,TNF,ENSG00000223952
IFNA2,P01563,IFNA2,ENSG00000188379
IFNA10,P01566,IFNA10,ENSG00000186803
IFNA7,P01567,IFNA7,ENSG00000214042
IFNA21,P01568,IFNA21,ENSG00000137080
IFNA5,P01569,IFNA5,ENSG00000147873
IFNA14,P01570,IFNA14,ENSG00000228083
IFNA17,P01571,IFNA17,ENSG00000234829
IFNB1,P01574,IFNB1,ENSG00000171855
IFNG,P01579,IFNG,ENSG00000111537
IL1A,P01583,IL1A,ENSG00000115008
IL1B,P01584,IL1B,ENSG00000125538
EPO,P01588,EPO,ENSG00000130427
IL2RA,P01589,IL2RA,ENSG00000134460
CD8A,P01732,CD8A,ENSG00000153563
COL1A1,P02452,COL1A1,ENSG00000108821
COL2A1,P02458,COL2A1,ENSG00000139219
COL3A1,P02461,COL3A1,ENSG00000168542
COL4A1,P02462,COL4A1,ENSG00000187498
APOA1,P02647,APOA1,ENSG00000118137
APOE,P02649,APOE,ENSG00000130203
APOA2,P02652,APOA2,ENSG00000158874
FGA,P02671,FGA,ENSG00000171560
FGB,P02675,FGB,ENSG00000171564
FGG,P02679,FGG,ENSG00000171557
CHRNA1,P02708,CHRNA1,ENSG00000138435
FN1,P02751,FN1,ENSG00000115414
RBP4,P02753,RBP4,ENSG00000138207
ALB,P02768,ALB,ENSG00000163631
PPBP,P02775,PPBP,ENSG00000163736
PF4,P02776,PF4,ENSG00000163737
CXCL10,P02778,CXCL10,ENSG00000169245
TFRC,P02786,TFRC,ENSG00000072274
TF,P02787,TF,ENSG00000091513
FTL,P02792,FTL,ENSG00000087086
FTH1,P02794,FTH1,ENSG00000167996
ESR1,P03372,ESR1,ENSG00000091831
AMH,P03971,AMH,ENSG00000104899
VTN,P04004,VTN,ENSG00000109072
PROC,P04070,PROC,ENSG00000115718
ANXA1,P04083,ANXA1,ENSG00000135046
PDGFA,P04085,PDGFA,ENSG00000197461
RLN2,P04090,RLN2,ENSG00000107014
APOB,P04114,APOB,ENSG00000084674
CSF2,P04141,CSF2,ENSG00000164400
NR3C1,P04150,NR3C1,ENSG00000113580
THY1,P04216,THY1,ENSG00000154096
CD74,P04233,CD74,ENSG00000019582
VWF,P04275,VWF,ENSG00000110799
ERBB2,P04626,ERBB2,ENSG00000141736
WNT1,P04628,WNT1,ENSG00000125084
NTRK1,P04629,NTRK1,ENSG00000198400
IFNW1,P05000,IFNW1,ENSG00000177047
IFNA6,P05013,IFNA6,ENSG00000120235
IFNA4,P05014,IFNA4,ENSG00000236637
IFNA16,P05015,IFNA16,ENSG00000147885
IGF1,P05019,IGF1,ENSG00000017427
APP,P05067,APP,ENSG00000142192
CYP17A1,P05093,CYP17A1,ENSG00000148795
ITGB3,P05106,ITGB3,ENSG00000259207
ITGB2,P05107,ITGB2,ENSG00000160255
CYP11A1,P05108,CYP11A1,ENSG00000140459
INHA,P05111,INHA,ENSG00000123999
IL4,P05112,IL4,ENSG00000113520
IL5,P05113,IL5,ENSG00000113525
FGF1,P05230,FGF1,ENSG00000113578
IL6,P05231,IL6,ENSG00000136244
ICAM1,P05362,ICAM1,ENSG00000090339
ITGB1,P05556,ITGB1,ENSG00000150093
COL5A2,P05997,COL5A2,ENSG00000204262
INSR,P06213,INSR,ENSG00000171105
LCK,P06239,LCK,ENSG00000182866
CCK,P06307,CCK,ENSG00000187094
PGR,P06401,PGR,ENSG00000082175
CD2,P06729,CD2,ENSG00000116824
CEACAM5,P06731,CEACAM5,ENSG00000105388
FCER2,P06734,FCER2,ENSG00000104921
ITGAV,P06756,ITGAV,ENSG00000138448
CRH,P06850,CRH,ENSG00000147571
TPO,P07202,TPO,ENSG00000115705
THBD,P07204,THBD,ENSG00000178726
P4HB,P07237,P4HB,ENSG00000185624
CSF1R,P07333,CSF1R,ENSG00000182578
GP1BA,P07359,GP1BA,ENSG00000185245
GRP,P07492,GRP,ENSG00000134443
ADRB2,P07550,ADRB2,ENSG00000169252
PSAP,P07602,PSAP,ENSG00000197746
RET,P07949,RET,ENSG00000165731
THBS1,P07996,THBS1,ENSG00000137801
IGF1R,P08069,IGF1R,ENSG00000140443
COL1A2,P08123,COL1A2,ENSG00000164692
NGFR,P08138,NGFR,ENSG00000064300
CHRM2,P08172,CHRM2,ENSG00000181072
CHRM4,P08173,CHRM4,ENSG00000180720
CD55,P08174,CD55,ENSG00000196352
NR3C2,P08235,NR3C2,ENSG00000151623
MMP2,P08253,MMP2,ENSG00000087245
INHBA,P08476,INHBA,ENSG00000122641
ITGA2B,P08514,ITGA2B,ENSG00000005961
COL4A2,P08572,COL4A2,ENSG00000134871
PTPRC,P08575,PTPRC,ENSG00000081237
PTPRC,P08575,PTPRC,ENSG00000262418
MET,P08581,MET,ENSG00000105976
ADRB1,P08588,ADRB1,ENSG00000043591
FGF4,P08620,FGF4,ENSG00000075388
ITGA5,P08648,ITGA5,ENSG00000161638
CYP3A4,P08684,CYP3A4,ENSG00000160868
IL3,P08700,IL3,ENSG00000164399
IL6R,P08887,IL6R,ENSG00000160712
HTR1A,P08908,HTR1A,ENSG00000178394
CHRM5,P08912,CHRM5,ENSG00000184984
ADRA2A,P08913,ADRA2A,ENSG00000150594
NMB,P08949,NMB,ENSG00000197696
FGF2,P09038,FGF2,ENSG00000138685
DBH,P09172,DBH,ENSG00000123454
CD48,P09326,CD48,ENSG00000117091
CXCL1,P09341,CXCL1,ENSG00000163739
INHBB,P09529,INHBB,ENSG00000163083
WNT2,P09544,WNT2,ENSG00000105989
CSF1,P09603,CSF1,ENSG00000184371
PDGFRB,P09619,PDGFRB,ENSG00000113721
GIP,P09681,GIP,ENSG00000159224
SCT,P09683,SCT,ENSG00000070031
SCT,P09683,SCT,ENSG00000274473
ALOX5,P09917,ALOX5,ENSG00000275565
ALOX5,P09917,ALOX5,ENSG00000012779
CSF3,P09919,CSF3,ENSG00000108342
LTA4H,P09960,LTA4H,ENSG00000111144
C4A,P0C0L4,C4A,ENSG00000206340
C4A,P0C0L4,C4A,ENSG00000244731
C4A,P0C0L4,C4A,ENSG00000227746
NPS,P0C0P6,NPS,ENSG00000214285
CFC1,P0CG37,CFC1,ENSG00000136698
SAA1,P0DJI8,SAA1,ENSG00000173432
APELA,P0DMC3,APELA,ENSG00000248329
ADORA3,P0DMS8,ADORA3,ENSG00000282608
CALCB,P10092,CALCB,ENSG00000175868
FDX1,P10109,FDX1,ENSG00000137714
CXCL8,P10145,CXCL8,ENSG00000169429
CCL3,P10147,CCL3,ENSG00000277632
CCL3,P10147,CCL3,ENSG00000274221
CCL3,P10147,CCL3,ENSG00000278567
AR,P10275,AR,ENSG00000169083
RARA,P10276,RARA,ENSG00000131759
SPP1,P10451,SPP1,ENSG00000118785
TGFB3,P10600,TGFB3,ENSG00000119699
KIT,P10721,KIT,ENSG00000157404
CD28,P10747,CD28,ENSG00000178562
FGF6,P10767,FGF6,ENSG00000111241
RARB,P10826,RARB,ENSG00000077092
THRA,P10827,THRA,ENSG00000126351
THRB,P10828,THRB,ENSG00000151090
CLU,P10909,CLU,ENSG00000120885
GHR,P10912,GHR,ENSG00000112964
CD8B,P10966,CD8B,ENSG00000172116
IAPP,P10997,IAPP,ENSG00000121351
LAMC1,P11047,LAMC1,ENSG00000135862
PNMT,P11086,PNMT,ENSG00000141744
ITGAM,P11215,ITGAM,ENSG00000169896
CHRM1,P11229,CHRM1,ENSG00000168539
BCR,P11274,BCR,ENSG00000186716
FGFR1,P11362,FGFR1,ENSG00000077782
VDR,P11473,VDR,ENSG00000111424
FGF3,P11487,FGF3,ENSG00000186895
CYP19A1,P11511,CYP19A1,ENSG00000137869
IGF2R,P11717,IGF2R,ENSG00000197081
FGF5,P12034,FGF5,ENSG00000138675
COL11A1,P12107,COL11A1,ENSG00000060718
COL6A1,P12109,COL6A1,ENSG00000142156
COL6A2,P12110,COL6A2,ENSG00000142173
COL6A3,P12111,COL6A3,ENSG00000163359
PTHLH,P12272,PTHLH,ENSG00000087494
BMP2,P12643,BMP2,ENSG00000125845
BMP4,P12644,BMP4,ENSG00000125378
CDH1,P12830,CDH1,ENSG00000039068
MLN,P12872,MLN,ENSG00000096395
GP1BB,P13224,GP1BB,ENSG00000203618
IL7,P13232,IL7,ENSG00000104432
CCL4,P13236,CCL4,ENSG00000275824
CCL4,P13236,CCL4,ENSG00000277943
CCL4,P13236,CCL4,ENSG00000275302
TDGF1,P13385,TDGF1,ENSG00000241186
CCL2,P13500,CCL2,ENSG00000108691
CCL5,P13501,CCL5,ENSG00000274233
CCL5,P13501,CCL5,ENSG00000271503
NCAM1,P13591,NCAM1,ENSG00000149294
ICAM2,P13598,ICAM2,ENSG00000108622
ITGA4,P13612,ITGA4,ENSG00000115232
RARG,P13631,RARG,ENSG00000172819
CEACAM1,P13688,CEACAM1,ENSG00000079385
OSM,P13725,OSM,ENSG00000099985
HLA-E,P13747,HLA-E,ENSG00000230254
HLA-E,P13747,HLA-E,ENSG00000233904
HLA-E,P13747,HLA-E,ENSG00000236632
HLA-E,P13747,HLA-E,ENSG00000206493
HLA-E,P13747,HLA-E,ENSG00000229252
HLA-E,P13747,HLA-E,ENSG00000225201
COL11A2,P13942,COL11A2,ENSG00000235708
COL11A2,P13942,COL11A2,ENSG00000206290
COL11A2,P13942,COL11A2,ENSG00000230930
COL11A2,P13942,COL11A2,ENSG00000204248
COL11A2,P13942,COL11A2,ENSG00000227801
ADRB3,P13945,ADRB3,ENSG00000188778
HSD3B1,P14060,HSD3B1,ENSG00000203857
HSD17B1,P14061,HSD17B1,ENSG00000108786
SELL,P14151,SELL,ENSG00000188404
CD99,P14209,CD99,ENSG00000002586
HGF,P14210,HGF,ENSG00000019991
DRD2,P14416,DRD2,ENSG00000149295
PLA2G2A,P14555,PLA2G2A,ENSG00000188257
TYR,P14679,TYR,ENSG00000077498
IL1R1,P14778,IL1R1,ENSG00000115594
IL2RB,P14784,IL2RB,ENSG00000100385
LIF,P15018,LIF,ENSG00000128342
AKR1B1,P15121,AKR1B1,ENSG00000085662
PVR,P15151,PVR,ENSG00000073008
IL9,P15248,IL9,ENSG00000145839
IFNGR1,P15260,IFNGR1,ENSG00000027697
EZR,P15311,EZR,ENSG00000092820
CSF2RA,P15509,CSF2RA,ENSG00000198223
AREG,P15514,AREG,ENSG00000109321
CD46,P15529,CD46,ENSG00000117335
CYP11B1,P15538,CYP11B1,ENSG00000160882
VEGFA,P15692,VEGFA,ENSG00000112715
CD1D,P15813,CD1D,ENSG00000158473
NPR1,P16066,NPR1,ENSG00000169418
CD44,P16070,CD44,ENSG00000026508
SELP,P16109,SELP,ENSG00000174175
ITGB4,P16144,ITGB4,ENSG00000132470
SPN,P16150,SPN,ENSG00000197471
CBR1,P16152,CBR1,ENSG00000159228
PDGFRA,P16234,PDGFRA,ENSG00000134853
PECAM1,P16284,PECAM1,ENSG00000261371
CTLA4,P16410,CTLA4,ENSG00000163599
DPEP1,P16444,DPEP1,ENSG00000015413
PRLR,P16471,PRLR,ENSG00000113494
TSHR,P16473,TSHR,ENSG00000165409
SELE,P16581,SELE,ENSG00000007908
CD36,P16671,CD36,ENSG00000135218
IL7R,P16871,IL7R,ENSG00000168685
IFNAR1,P17181,IFNAR1,ENSG00000142166
ITGA2,P17301,ITGA2,ENSG00000164171
HLA-G,P17693,HLA-G,ENSG00000235680
HLA-G,P17693,HLA-G,ENSG00000230413
HLA-G,P17693,HLA-G,ENSG00000235346
HLA-G,P17693,HLA-G,ENSG00000233095
HLA-G,P17693,HLA-G,ENSG00000206506
HLA-G,P17693,HLA-G,ENSG00000276051
HLA-G,P17693,HLA-G,ENSG00000237216
CHRNB2,P17787,CHRNB2,ENSG00000160716
LGALS3,P17931,LGALS3,ENSG00000131981
IGFBP3,P17936,IGFBP3,ENSG00000146674
FLT1,P17948,FLT1,ENSG00000102755
ALOX12,P18054,ALOX12,ENSG00000108839
BMP7,P18075,BMP7,ENSG00000101144
ITGB5,P18084,ITGB5,ENSG00000082781
ADRA2B,P18089,ADRA2B,ENSG00000274286
